assigned_to,Mathematical,Shape(s) is closed,Labeled angles (if any) match drawn angle,Applicable - Labeled angles (if any) match drawn angle,Labeled lengths and areas (if any) match visual proportions,Applicable - Labeled lengths and areas (if any) match visual proportions,Core math properties of the shape(s) are correct,Spatial,Diagram is fully in frame,Diagram elements are scaled to be readable,Labels (if any) are associated with correct elements,Applicable - Labels (if any) are associated with correct elements,Diagram elements don't problematically overlap,prompt,subcategory,image,tikz,rating_source,diagram_id
Shubhra,,Yes,No,N/A,Yes,,Yes,,Yes,Yes,Yes,,Yes,Draw a 4 × 3 × 5 rectangular prism with labeled dimensions. Show as a 3D wireframe with visible edges and dimension labels.,rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-0zM8xE2I85SfT8fMlDMOAqgBYth5VC.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\def\unitLength{0.18in}

\begin{tikzpicture}[x=(-5:0.76*\unitLength), y={(32:1.1*\unitLength)}, z=(90:\unitLength)]

\def\dimX{4} % Length
\def\dimY{3} % Width  
\def\dimZ{5} % Height

\coordinate (frontBottomLeft) at (0,0,0);
\coordinate (frontBottomRight) at (\dimX,0,0);
\coordinate (frontTopLeft) at (0,0,\dimZ);
\coordinate (frontTopRight) at (\dimX,0,\dimZ);

\tikzstyle{toBack}=[shift={(0,\dimY,0)}]
\coordinate (backBottomLeft) at ([toBack]frontBottomLeft);
\coordinate (backBottomRight) at ([toBack]frontBottomRight);
\coordinate (backTopLeft) at ([toBack]frontTopLeft);
\coordinate (backTopRight) at ([toBack]frontTopRight);

% Solid edges (visible)
\draw[thick] (frontBottomLeft) -- (frontBottomRight) -- (frontTopRight) -- (frontTopLeft) -- cycle;
\draw[thick] (frontBottomRight) -- (backBottomRight) -- (backTopRight) -- (backTopLeft) -- (frontTopLeft);
\draw[thick] (frontTopRight) -- (backTopRight);

% Dotted edges (hidden)
\draw[dotted, thick] (frontBottomLeft) -- (backBottomLeft) -- (backBottomRight);
\draw[dotted, thick] (backBottomLeft) -- (backTopLeft);

% Dimension labels
\path (frontTopLeft)
   -- node[left, pos=0.5] {5}
      (frontBottomLeft)
   -- node[below left, pos=0.6] {4}
      (frontBottomRight)
   -- node[below right, pos=0.5] {3}
      (backBottomRight);

\end{tikzpicture}
\end{document}",shubhra,309
All (IRR),,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,No,N/A,Yes,"rectangular prism made of unit cubes, 3 units by 5 units by 2 units, show all unit cubes",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-kXZ5KJOOmDNTfbYYyfmisvEyGchFic.svg,"\documentclass{IM}
\begin{document}

\newcommand\Ucube[5]{
\begin{scope}[scale=.25,shift={(#1,#2,#3)},xshift=#4 in ,yshift=#5 in]
\draw[rounded corners=.1mm,fill=LBlue] (0,0,1)--(1,0,1)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (0,1,0)--(1,1,0)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (1,0,0)--(1,1,0)--(1,1,1)--(1,0,1)--cycle;
\end{scope}
}

%%3 by 5 by 2
\begin{tikzpicture}[x=1in, y=1in, z=(45:-.4)]
\clip (-\QP/2,-\QP/2) rectangle (\QP/2,\QP/2);
\def\xchange{-1.5}
\def\ychange{-2.5}
\foreach \x in {0,1,2}{
\foreach \y in {0,1,2,3,4}{
\foreach \z in {-1,0}{
\Ucube{\x}{\y}{\z}{\xchange}{\ychange};
}}}
\end{tikzpicture}

\end{document}",irr_consensus,310
All (IRR),,Yes,No,N/A,Yes,,Yes,,Yes,Yes,Yes,,Yes,"rectangular prism, 1 cm × 2 cm × 12 cm, labeled dimensions",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-ZjRlZeTE8eLvV5cvzc8FI5jtCUq6qA.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=(-5:0.76*0.16in), y={(32:1.1*0.16in)}, z=(90:0.16in)]

\def\dimX{12} % Length: 12 cm
\def\dimY{2}  % Width: 2 cm  
\def\dimZ{1}  % Height: 1 cm

\coordinate (frontBottomLeft) at (0,0,0);
\coordinate (frontBottomRight) at (\dimX,0,0);
\coordinate (frontTopLeft) at (0,0,\dimZ);
\coordinate (frontTopRight) at (\dimX,0,\dimZ);

\tikzstyle{toBack}=[shift={(0,\dimY,0)}]
\coordinate (backBottomLeft) at ([toBack]frontBottomLeft);
\coordinate (backBottomRight) at ([toBack]frontBottomRight);
\coordinate (backTopLeft) at ([toBack]frontTopLeft);
\coordinate (backTopRight) at ([toBack]frontTopRight);

% Solid edges
\draw (frontBottomLeft) -- (frontBottomRight) -- (frontTopRight) -- (frontTopLeft) -- cycle;
\draw (frontBottomRight) -- (backBottomRight) -- (backTopRight) -- (backTopLeft) -- (frontTopLeft);
\draw (frontTopRight) -- (backTopRight);

% Dotted edges
\draw[dotted] (frontBottomLeft) -- (backBottomLeft) -- (backBottomRight);
\draw[dotted] (backBottomLeft) -- (backTopLeft);

% Labels
\path (frontTopLeft)
   -- node[left, pos=0.5] {1 cm}
      (frontBottomLeft)
   -- node[below left, pos=0.5] {12 cm}
      (frontBottomRight)
   -- node[below right, pos=0.5] {2 cm}
      (backBottomRight);

\end{tikzpicture}

\end{document}",irr_consensus,311
Vishal,,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,No,N/A,No,"Draw a 3 × 3 × 1 rectangular prism. Attach a 3 × 1 × 2 prism on top of the back row of cubes. Cube outlines only, no shading, no colors.",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-uFkrg5M4deUqeeEwGzf4pY2cnyUCuQ.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=0.8cm, y=0.8cm, z=0.5cm]

% Define coordinates for the base 3x3x1 prism
% Front face vertices
\coordinate (A) at (0,0,0);
\coordinate (B) at (3,0,0);
\coordinate (C) at (3,3,0);
\coordinate (D) at (0,3,0);

% Back face vertices (1 unit deep)
\coordinate (E) at (0,0,1);
\coordinate (F) at (3,0,1);
\coordinate (G) at (3,3,1);
\coordinate (H) at (0,3,1);

% Draw the base 3x3x1 prism edges
% Front face
\draw (A) -- (B) -- (C) -- (D) -- cycle;

% Back face
\draw (E) -- (F) -- (G) -- (H) -- cycle;

% Connecting edges
\draw (A) -- (E);
\draw (B) -- (F);
\draw (C) -- (G);
\draw (D) -- (H);

% Internal grid lines for the base prism
% Vertical lines on front face
\draw (1,0,0) -- (1,3,0);
\draw (2,0,0) -- (2,3,0);

% Horizontal lines on front face
\draw (0,1,0) -- (3,1,0);
\draw (0,2,0) -- (3,2,0);

% Vertical lines on back face
\draw (1,0,1) -- (1,3,1);
\draw (2,0,1) -- (2,3,1);

% Horizontal lines on back face
\draw (0,1,1) -- (3,1,1);
\draw (0,2,1) -- (3,2,1);

% Internal connecting lines
\draw (1,0,0) -- (1,0,1);
\draw (2,0,0) -- (2,0,1);
\draw (1,1,0) -- (1,1,1);
\draw (2,1,0) -- (2,1,1);
\draw (1,2,0) -- (1,2,1);
\draw (2,2,0) -- (2,2,1);
\draw (1,3,0) -- (1,3,1);
\draw (2,3,0) -- (2,3,1);

\draw (0,1,0) -- (0,1,1);
\draw (0,2,0) -- (0,2,1);
\draw (3,1,0) -- (3,1,1);
\draw (3,2,0) -- (3,2,1);

% Define coordinates for the top 3x1x2 prism (attached to back row)
% Bottom face vertices (on top of the back row of the base prism)
\coordinate (I) at (0,2,1);
\coordinate (J) at (3,2,1);
\coordinate (K) at (3,3,1);
\coordinate (L) at (0,3,1);

% Top face vertices (2 units higher)
\coordinate (M) at (0,2,3);
\coordinate (N) at (3,2,3);
\coordinate (O) at (3,3,3);
\coordinate (P) at (0,3,3);

% Draw the top 3x1x2 prism edges
% Bottom face (already drawn as part of base prism)
% We need to draw the rectangle from I-J-K-L which is part of the top face of base prism

% Top face
\draw (M) -- (N) -- (O) -- (P) -- cycle;

% Connecting edges
\draw (I) -- (M);
\draw (J) -- (N);
\draw (K) -- (O);
\draw (L) -- (P);

% Internal grid lines for the top prism
% Vertical lines on front face of top prism
\draw (1,2,1) -- (1,2,3);
\draw (2,2,1) -- (2,2,3);

% Vertical lines on back face of top prism  
\draw (1,3,1) -- (1,3,3);
\draw (2,3,1) -- (2,3,3);

% Horizontal lines at middle height
\draw (0,2,2) -- (3,2,2);
\draw (0,3,2) -- (3,3,2);
\draw (1,2,2) -- (1,3,2);
\draw (2,2,2) -- (2,3,2);

% Vertical connecting lines at middle height
\draw (1,2,1) -- (1,3,1);
\draw (2,2,1) -- (2,3,1);
\draw (1,2,2) -- (1,3,2);
\draw (2,2,2) -- (2,3,2);
\draw (1,2,3) -- (1,3,3);
\draw (2,2,3) -- (2,3,3);

% Connect middle layer
\draw (0,2,2) -- (0,3,2);
\draw (3,2,2) -- (3,3,2);

% Top face grid lines
\draw (1,2,3) -- (1,3,3);
\draw (2,2,3) -- (2,3,3);

\end{tikzpicture}
\end{document}",vishal,312
Rebecca,,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,No,N/A,Yes,"stacked rectangular prisms forming step shape, no labels or numbers",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-hbaIwk8ORQGAiZCuYM7s4QZNcohDyi.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\newcommand\Ucube[5]{
\begin{scope}[scale=.25,shift={(#1,#2,#3)},xshift=#4 in ,yshift=#5 in]
\draw[rounded corners=.1mm,fill=LBlue] (0,0,1)--(1,0,1)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (0,1,0)--(1,1,0)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (1,0,0)--(1,1,0)--(1,1,1)--(1,0,1)--cycle;
\end{scope}
}

\begin{tikzpicture}[x=1in, y=1in, z=(45:-.4)]
\clip (-\QP/2,-\QP/2) rectangle (\QP/2,\QP/2);
\def\xchange{-1.5}
\def\ychange{-1.5}

% Bottom layer - 3x3 base
\foreach \x/\y/\z in {
0/0/0,
1/0/0,
2/0/0,
0/1/0,
1/1/0,
2/1/0,
0/2/0,
1/2/0,
2/2/0
}{\Ucube{\x}{\y}{\z}{\xchange}{\ychange};}

% Second layer - 2x2
\foreach \x/\y/\z in {
1/1/1,
2/1/1,
1/2/1,
2/2/1
}{\Ucube{\x}{\y}{\z}{\xchange}{\ychange};}

% Top layer - 1x1
\foreach \x/\y/\z in {
2/2/2
}{\Ucube{\x}{\y}{\z}{\xchange}{\ychange};}

\end{tikzpicture}

\end{document}",rebecca,313
Rebecca,,Yes,No,N/A,No,N/A,Yes,,No,Yes,No,N/A,Yes,"corner-shaped figure made of 2 rectangular prisms, 6 ft × 2 ft × 3 ft left prism, 3 ft × 2 ft × 5 ft right prism",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-jK2VMRwrHM8iu2uFLLdyg8m94OnBWr.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\newcommand\Ucube[5]{
\begin{scope}[scale=.25,shift={(#1,#2,#3)},xshift=#4 in ,yshift=#5 in]
\draw[rounded corners=.1mm,fill=LBlue] (0,0,1)--(1,0,1)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (0,1,0)--(1,1,0)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (1,0,0)--(1,1,0)--(1,1,1)--(1,0,1)--cycle;
\end{scope}
}

\begin{tikzpicture}[x=1in, y=1in, z=(45:-.4)]
\clip (-\QP/2-0.5cm,-\QP/2-0.5cm) rectangle (\QP/2+0.5cm,\QP/2+0.5cm);
\def\xchange{-2.5}
\def\ychange{-1.5}

% Left prism: 6 ft × 2 ft × 3 ft
\foreach \x in {0,...,5}{
\foreach \y in {0,...,1}{
\foreach \z in {0,...,2}{
\Ucube{\x}{\y}{\z}{\xchange}{\ychange};
}}}

% Right prism: 3 ft × 2 ft × 5 ft (positioned to create corner shape)
\foreach \x in {0,...,2}{
\foreach \y in {0,...,1}{
\foreach \z in {3,...,7}{
\Ucube{\x}{\y}{\z}{\xchange}{\ychange};
}}}

\end{tikzpicture}
\end{document}",rebecca,314
Shubhra,,Yes,No,N/A,Yes,,Yes,,Yes,Yes,Yes,,Yes,"rectangular prism, length 5, width 3, height 4",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-8R1ktRS2ugPpp6f9bWleeLyOrbnOb8.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\def\unitLength{0.16in}

\begin{tikzpicture}[x=(-5:0.76*\unitLength), y={(32:1.1*\unitLength)}, z=(90:\unitLength)]

\def\dimX{5} % Length
\def\dimY{3} % Width
\def\dimZ{4} % Height

\coordinate (frontBottomLeft) at (0,0,0);
\coordinate (frontBottomRight) at (\dimX,0,0);
\coordinate (frontTopLeft) at (0,0,\dimZ);
\coordinate (frontTopRight) at (\dimX,0,\dimZ);

\tikzstyle{toBack}=[shift={(0,\dimY,0)}]
\coordinate (backBottomLeft) at ([toBack]frontBottomLeft);
\coordinate (backBottomRight) at ([toBack]frontBottomRight);
\coordinate (backTopLeft) at ([toBack]frontTopLeft);
\coordinate (backTopRight) at ([toBack]frontTopRight);

% Solid edges
\draw (frontBottomLeft) -- (frontBottomRight) -- (frontTopRight) -- (frontTopLeft) -- cycle;
\draw (frontBottomRight) -- (backBottomRight) -- (backTopRight) -- (backTopLeft) -- (frontTopLeft);
\draw (frontTopRight) -- (backTopRight);

% Dotted edges
\draw[dotted] (frontBottomLeft) -- (backBottomLeft) -- (backBottomRight);
\draw[dotted] (backBottomLeft) -- (backTopLeft);

% Labels
\path (frontTopLeft)
   -- node[left, pos=0.5] {4}
      (frontBottomLeft)
   -- node[below left, pos=0.6] {5}
      (frontBottomRight)
   -- node[below right, pos=0.5] {3}
      (backBottomRight);

\end{tikzpicture}
\end{document}",shubhra,315
Rebecca,,Yes,No,N/A,No,N/A,Yes,,No,Yes,No,N/A,Yes,"L-shaped figure made of 2 rectangular prisms with thick base, no labels or numbers",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-YSKsah5cqUAzsJjGj2q9CCGYL8F47X.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\newcommand\Ucube[5]{
\begin{scope}[scale=.25,shift={(#1,#2,#3)},xshift=#4 in ,yshift=#5 in]
\draw[rounded corners=.1mm,fill=LBlue] (0,0,1)--(1,0,1)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (0,1,0)--(1,1,0)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (1,0,0)--(1,1,0)--(1,1,1)--(1,0,1)--cycle;
\end{scope}
}

\begin{tikzpicture}[x=1in, y=1in, z=(45:-.5)]
\clip (-\QP/2,-\QP/2) rectangle (\QP/2,\QP/2);
\def\xchange{-1.5}
\def\ychange{-0.5}

% First rectangular prism - horizontal part of L
\foreach \x in {0,...,3}{
\foreach \y in {0,...,1}{
\foreach \z in {0,...,1}{
\Ucube{\x}{\y}{\z}{\xchange}{\ychange};
}}}

% Second rectangular prism - vertical part of L  
\foreach \x in {0,...,1}{
\foreach \y in {0,...,1}{
\foreach \z in {2,...,4}{
\Ucube{\x}{\y}{\z}{\xchange}{\ychange};
}}}

\end{tikzpicture}

\end{document}",rebecca,316
All (IRR),,Yes,No,N/A,Yes,,Yes,,Yes,Yes,No,,No,"rectangular prism, 4 units length, 3 units width, 5 units height, unit cubes visible, clear dimensional labeling",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-ppnrxL98je8fFpByG491GgMa1wf17K.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\newcommand\Ucube[5]{
\begin{scope}[scale=.25,shift={(#1,#2,#3)},xshift=#4 in ,yshift=#5 in]
\draw[rounded corners=.1mm,fill=LBlue] (0,0,1)--(1,0,1)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (0,1,0)--(1,1,0)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (1,0,0)--(1,1,0)--(1,1,1)--(1,0,1)--cycle;
\end{scope}
}

\newcommand\Outline[5]{
\begin{scope}[scale=.25,xshift=#4 in ,yshift=#5 in]
\draw[very thick,rounded corners=.1mm] (0,0,#3)--(#1,0,#3)--(#1,#2,#3)--(0,#2,#3)--cycle;
\draw[very thick,rounded corners=.1mm] (0,#2,0)--(#1,#2,0)--(#1,#2,#3)--(0,#2,#3)--cycle;
\draw[very thick,rounded corners=.1mm] (#1,0,0)--(#1,#2,0)--(#1,#2,#3)--(#1,0,#3)--cycle;
\end{scope}
}

\begin{tikzpicture}[x=1in,y=1in,z=(45:-.5),scale=0.75]
\clip (-\HP/2,-\THP/2) rectangle (\HP/2,1.5);
\def\xchange{-2}
\def\ychange{-2}

% Draw all unit cubes: 4 length × 3 width × 5 height
\foreach \x in {0,...,3}{
\foreach \y in {0,...,2}{
\foreach \z in {0,...,4}{
\Ucube{\x}{\y}{\z}{\xchange}{\ychange}
}}}

% Draw outline
\Outline{4}{3}{5}{\xchange}{\ychange}

% Add dimensional labels
\node[above] at (-1.5,0.8) {4 units};
\node[right] at (-0.3,-0.5) {3 units};
\node[left] at (-2.3,0.3) {5 units};

\end{tikzpicture}
\end{document}",irr_consensus,317
Shubhra,,Yes,No,N/A,Yes,,Yes,,Yes,Yes,Yes,,Yes,rectangular prism with dimensions 4 by 3 by 6 units,rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-Ob4WUw1cnEHIuzpcfqdZisf57wj2K1.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

% Adjust image size by changing \unitLength (everything adjusts automatically)
\def\unitLength{0.16in}

\begin{tikzpicture}[x=(-5:0.76*\unitLength), y={(32:1.1*\unitLength)}, z=(90:\unitLength)]

\def\dimX{4} % Dim in the x-dir
\def\dimY{3} % Dim in the y-dir
\def\dimZ{6} % Dim in the z-dir

\coordinate (frontBottomLeft) at (0,0,0);
\coordinate (frontBottomRight) at (\dimX,0,0);
\coordinate (frontTopLeft) at (0,0,\dimZ);
\coordinate (frontTopRight) at (\dimX,0,\dimZ);

\tikzstyle{toBack}=[shift={(0,\dimY,0)}]
\coordinate (backBottomLeft) at ([toBack]frontBottomLeft);
\coordinate (backBottomRight) at ([toBack]frontBottomRight);
\coordinate (backTopLeft) at ([toBack]frontTopLeft);
\coordinate (backTopRight) at ([toBack]frontTopRight);

% Solid edges
\draw (frontBottomLeft) -- (frontBottomRight) -- (frontTopRight) -- (frontTopLeft) -- cycle;
\draw (frontBottomRight) -- (backBottomRight) -- (backTopRight) -- (backTopLeft) -- (frontTopLeft);
\draw (frontTopRight) -- (backTopRight);

% dotted edges
\draw[dotted] (frontBottomLeft) -- (backBottomLeft) -- (backBottomRight);
\draw[dotted] (backBottomLeft) -- (backTopLeft);

% labels
\path (frontTopLeft)
   -- node[left, pos=0.5] {$\dimZ$ units}
      (frontBottomLeft)
   -- node[below left, pos=0.6] {$\dimX$ units}
      (frontBottomRight)
   -- node[below right, pos=0.5] {$\dimY$ units}
      (backBottomRight);

\end{tikzpicture}
\end{document}",shubhra,318
Shubhra,,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,No,N/A,Yes,"rectangular prism made of unit cubes, 3 layers, 8 cubes per layer",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-L0RtLpINlSve0jzXviL0kOCOkqINL1.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\newcommand\Ucube[5]{
\begin{scope}[scale=.25,shift={(#1,#2,#3)},xshift=#4 in ,yshift=#5 in]
\draw[rounded corners=.1mm,fill=LBlue] (0,0,1)--(1,0,1)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (0,1,0)--(1,1,0)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (1,0,0)--(1,1,0)--(1,1,1)--(1,0,1)--cycle;
\end{scope}
}

\newcommand\Outline[5]{
\begin{scope}[scale=.25,xshift=#4 in ,yshift=#5 in]
\draw[very thick,rounded corners=.1mm] (0,0,#3)--(#1,0,#3)--(#1,#2,#3)--(0,#2,#3)--cycle;
\draw[very thick,rounded corners=.1mm] (0,#2,0)--(#1,#2,0)--(#1,#2,#3)--(0,#2,#3)--cycle;
\draw[very thick,rounded corners=.1mm] (#1,0,0)--(#1,#2,0)--(#1,#2,#3)--(#1,0,#3)--cycle;
\end{scope}
}

\begin{tikzpicture}[x=1in, y=1in, z=(45:-.4)]
\clip (-\HP/2,-\HP/2) rectangle (\HP/2,\HP/2);
\def\xchange{-2}
\def\ychange{-2}

% Generate 3 layers with 8 cubes per layer (2x4 arrangement)
\foreach \x in {0,...,1}{
\foreach \y in {0,...,3}{
\foreach \z in {0,...,2}{
\Ucube{\x}{\y}{\z}{\xchange}{\ychange};
}}}

\Outline{2}{4}{3}{\xchange}{\ychange};

\end{tikzpicture}
\end{document}",shubhra,319
Rebecca,,Yes,No,N/A,Yes,,Yes,,Yes,Yes,Yes,,Yes,"rectangular prism net with thick bold outlines defining each face exactly, 6x4 center face, 6x3 top/bottom faces, 4x3 left/right faces, grid inside shows exact dimensions, areas 24, 18, 12 in centers",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-KJquDjjdF1tO8T3rn6a3CF6NSePRkI.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}[x=0.3in,y=0.3in]

% Define grid dimensions
\def\widthparts{12}
\def\heightparts{10}

% Clip around the net
\clip (-0.5,-0.5) rectangle (\widthparts+0.5,\heightparts+0.5);

% Draw grid lines
\draw[line width=0.5pt,black!30] (0,0) grid[step=1] (\widthparts,\heightparts);

% Center face (6x4) - positioned at center
\draw[line width=2pt, fill=LBlue] (3,3) rectangle (9,7);
\node[font=\Large\bfseries] at (6,5) {24};

% Top face (6x3) - attached to top of center
\draw[line width=2pt, fill=LBlue] (3,7) rectangle (9,10);
\node[font=\Large\bfseries] at (6,8.5) {18};

% Bottom face (6x3) - attached to bottom of center  
\draw[line width=2pt, fill=LBlue] (3,0) rectangle (9,3);
\node[font=\Large\bfseries] at (6,1.5) {18};

% Left face (4x3) - attached to left of center
\draw[line width=2pt, fill=LBlue] (0,3) rectangle (3,7);
\node[font=\Large\bfseries] at (1.5,5) {12};

% Right face (4x3) - attached to right of center
\draw[line width=2pt, fill=LBlue] (9,3) rectangle (12,7);
\node[font=\Large\bfseries] at (10.5,5) {12};

% Draw internal grid lines for dimensions
% Center face internal lines
\foreach \x in {4,5,6,7,8} {
    \draw[line width=0.5pt] (\x,3) -- (\x,7);
}
\foreach \y in {4,5,6} {
    \draw[line width=0.5pt] (3,\y) -- (9,\y);
}

% Top face internal lines
\foreach \x in {4,5,6,7,8} {
    \draw[line width=0.5pt] (\x,7) -- (\x,10);
}
\foreach \y in {8,9} {
    \draw[line width=0.5pt] (3,\y) -- (9,\y);
}

% Bottom face internal lines
\foreach \x in {4,5,6,7,8} {
    \draw[line width=0.5pt] (\x,0) -- (\x,3);
}
\foreach \y in {1,2} {
    \draw[line width=0.5pt] (3,\y) -- (9,\y);
}

% Left face internal lines
\foreach \x in {1,2} {
    \draw[line width=0.5pt] (\x,3) -- (\x,7);
}
\foreach \y in {4,5,6} {
    \draw[line width=0.5pt] (0,\y) -- (3,\y);
}

% Right face internal lines
\foreach \x in {10,11} {
    \draw[line width=0.5pt] (\x,3) -- (\x,7);
}
\foreach \y in {4,5,6} {
    \draw[line width=0.5pt] (9,\y) -- (12,\y);
}

\end{tikzpicture}
\end{document}",rebecca,320
Rebecca,,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,No,N/A,Yes,"3D figure made of two rectangular prisms, one 4x2x3 on bottom, one 2x2x2 on top right corner",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-A3xwCluz8rFF5k26eOpprrh7I4LCLl.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\newcommand\Ucube[5]{
\begin{scope}[scale=.25,shift={(#1,#2,#3)},xshift=#4 in ,yshift=#5 in]
\draw[rounded corners=.1mm,fill=LBlue] (0,0,1)--(1,0,1)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (0,1,0)--(1,1,0)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (1,0,0)--(1,1,0)--(1,1,1)--(1,0,1)--cycle;
\end{scope}
}

\begin{tikzpicture}[x=1in, y=1in, z=(45:-.4)]
\clip (-2,-1.5) rectangle (2.5,1.5);
\def\xchange{-2}
\def\ychange{-1}

% Bottom rectangular prism: 4x2x3 (4 length, 2 width, 3 height)
\foreach \x in {0,...,3}{
\foreach \y in {0,...,1}{
\foreach \z in {-2,...,0}{
\Ucube{\x}{\y}{\z}{\xchange}{\ychange};
}}}

% Top rectangular prism: 2x2x2 positioned on top right corner
% Starting at x=2 (right side), y=0, z=1 (on top of bottom prism)
\foreach \x in {2,...,3}{
\foreach \y in {0,...,1}{
\foreach \z in {1,...,2}{
\Ucube{\x}{\y}{\z}{\xchange}{\ychange};
}}}

\end{tikzpicture}

\end{document}",rebecca,321
Vishal,,Yes,No,N/A,No,N/A,Yes,,Yes,No,No,,No,Draw a figure that can be decomposed as (7 × 5 × 3) + (4 × 5 × 2). Show two rectangular prisms combined with dimension labels.,rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-5jslw8RY2mZUiSvuikjCAnZXaQ5HMp.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\newcommand\Ucube[5]{
\begin{scope}[scale=.25,shift={(#1,#2,#3)},xshift=#4 in ,yshift=#5 in]
\draw[rounded corners=.1mm,fill=LBlue] (0,0,1)--(1,0,1)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (0,1,0)--(1,1,0)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (1,0,0)--(1,1,0)--(1,1,1)--(1,0,1)--cycle;
\end{scope}
}

\begin{tikzpicture}[x=1in, y=1in, z=(45:-.4)]

% First rectangular prism: 7 × 5 × 3
\def\xchangeFirst{-3}
\def\ychangeFirst{1}
\foreach \x in {0,...,6}{
\foreach \y in {0,...,4}{
\foreach \z in {0,...,2}{
\Ucube{\x}{\y}{\z}{\xchangeFirst}{\ychangeFirst};
}}}

% Second rectangular prism: 4 × 5 × 2
\def\xchangeSecond{1.5}
\def\ychangeSecond{1}
\foreach \x in {0,...,3}{
\foreach \y in {0,...,4}{
\foreach \z in {0,...,1}{
\Ucube{\x}{\y}{\z}{\xchangeSecond}{\ychangeSecond};
}}}

% Dimension labels for first prism
\node at (-1.25,2.25) [scale=1.2] {7};
\node at (-0.5,3.5) [scale=1.2] {5};
\node at (1,2.75) [scale=1.2] {3};

% Dimension labels for second prism
\node at (2.75,2.25) [scale=1.2] {4};
\node at (3.5,3.5) [scale=1.2] {5};
\node at (5,2.5) [scale=1.2] {2};

% Mathematical expression
\node at (0,0) [scale=1.5] {$(7 \times 5 \times 3) + (4 \times 5 \times 2)$};

\end{tikzpicture}

\end{document}",vishal,322
