assigned_to,Mathematical,Shape(s) is closed,Labeled angles (if any) match drawn angle,Applicable - Labeled angles (if any) match drawn angle,Labeled lengths and areas (if any) match visual proportions,Applicable - Labeled lengths and areas (if any) match visual proportions,Core math properties of the shape(s) are correct,Spatial,Diagram is fully in frame,Diagram elements are scaled to be readable,Labels (if any) are associated with correct elements,Applicable - Labels (if any) are associated with correct elements,Diagram elements don't problematically overlap,prompt,subcategory,image,tikz
All (IRR),,No,No,N/A,No,,No,,Yes,Yes,Yes,,No,"3D composite figure showing subtraction method: large 6in x 4in x 3in rectangular prism with 2in x 2in x 3in corner piece removed, dimensions labeled",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-QntdT5ctXbeiJAQI4qATy7Ljlig7MC.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\def\unitLength{0.16in}

\begin{tikzpicture}[x=(-5:0.76*\unitLength), y={(32:1.1*\unitLength)}, z=(90:\unitLength)]

% Define dimensions for the large prism
\def\dimX{6} % Length: 6 inches
\def\dimY{4} % Width: 4 inches  
\def\dimZ{3} % Height: 3 inches

% Define dimensions for the removed corner piece
\def\removeX{2} % Length: 2 inches
\def\removeY{2} % Width: 2 inches
\def\removeZ{3} % Height: 3 inches (full height)

% Large prism coordinates
\coordinate (frontBottomLeft) at (0,0,0);
\coordinate (frontBottomRight) at (\dimX,0,0);
\coordinate (frontTopLeft) at (0,0,\dimZ);
\coordinate (frontTopRight) at (\dimX,0,\dimZ);

\tikzstyle{toBack}=[shift={(0,\dimY,0)}]
\coordinate (backBottomLeft) at ([toBack]frontBottomLeft);
\coordinate (backBottomRight) at ([toBack]frontBottomRight);
\coordinate (backTopLeft) at ([toBack]frontTopLeft);
\coordinate (backTopRight) at ([toBack]frontTopRight);

% Corner cutout coordinates (removing from back-right corner)
\coordinate (cutoutFrontBottom) at (\dimX-\removeX,0,0);
\coordinate (cutoutFrontTop) at (\dimX-\removeX,0,\dimZ);
\coordinate (cutoutBackBottom) at (\dimX-\removeX,\dimY-\removeY,0);
\coordinate (cutoutBackTop) at (\dimX-\removeX,\dimY-\removeY,\dimZ);

% Draw the main structure with cutout
% Front face (partial)
\draw (frontBottomLeft) -- (cutoutFrontBottom) -- (cutoutFrontTop) -- (frontTopLeft) -- cycle;

% Right face (partial) 
\draw (cutoutFrontBottom) -- (frontBottomRight) -- (frontTopRight) -- (cutoutFrontTop);

% Top face (with cutout)
\draw (frontTopLeft) -- (cutoutFrontTop) -- (cutoutBackTop) -- (backTopLeft) -- cycle;
\draw (cutoutFrontTop) -- (frontTopRight) -- (backTopRight) -- (cutoutBackTop);

% Back face (partial)
\draw (backTopLeft) -- (cutoutBackTop) -- (cutoutBackBottom) -- (backBottomLeft) -- (frontBottomLeft);

% Bottom face (with cutout)
\draw (frontBottomLeft) -- (cutoutFrontBottom) -- (cutoutBackBottom) -- (backBottomLeft);
\draw (cutoutFrontBottom) -- (frontBottomRight) -- (backBottomRight) -- (cutoutBackBottom);

% Internal edges from the cutout
\draw (cutoutBackBottom) -- (cutoutBackTop);
\draw (cutoutBackBottom) -- (backBottomRight);
\draw (cutoutBackTop) -- (backTopRight);

% Dotted hidden edges
\draw[dotted] (backBottomLeft) -- (backBottomRight);
\draw[dotted] (backBottomRight) -- (backTopRight);

% Dimension labels for the large prism
\path (frontTopLeft)
   -- node[left, pos=0.5] {3 in}
      (frontBottomLeft)
   -- node[below left, pos=0.3] {6 in}
      (frontBottomRight);

\path (frontBottomLeft)
   -- node[below right, pos=0.3] {4 in}
      (backBottomLeft);

% Dimension labels for the removed piece
\path (cutoutFrontBottom)
   -- node[below, pos=0.5] {2 in}
      (frontBottomRight);

\path (cutoutBackBottom)
   -- node[below right, pos=0.5] {2 in}
      (backBottomRight);

\path (cutoutBackBottom)
   -- node[right, pos=0.5] {3 in}
      (cutoutBackTop);

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,No,N/A,Yes,"rectangular prism made of unit cubes, 3 units by 5 units by 2 units, show all unit cubes",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-kXZ5KJOOmDNTfbYYyfmisvEyGchFic.svg,"\documentclass{IM}
\begin{document}

\newcommand\Ucube[5]{
\begin{scope}[scale=.25,shift={(#1,#2,#3)},xshift=#4 in ,yshift=#5 in]
\draw[rounded corners=.1mm,fill=LBlue] (0,0,1)--(1,0,1)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (0,1,0)--(1,1,0)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (1,0,0)--(1,1,0)--(1,1,1)--(1,0,1)--cycle;
\end{scope}
}

%%3 by 5 by 2
\begin{tikzpicture}[x=1in, y=1in, z=(45:-.4)]
\clip (-\QP/2,-\QP/2) rectangle (\QP/2,\QP/2);
\def\xchange{-1.5}
\def\ychange{-2.5}
\foreach \x in {0,1,2}{
\foreach \y in {0,1,2,3,4}{
\foreach \z in {-1,0}{
\Ucube{\x}{\y}{\z}{\xchange}{\ychange};
}}}
\end{tikzpicture}

\end{document}"
All (IRR),,Yes,No,N/A,Yes,,Yes,,Yes,Yes,Yes,,Yes,"rectangular prism, 1 cm × 2 cm × 12 cm, labeled dimensions",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-ZjRlZeTE8eLvV5cvzc8FI5jtCUq6qA.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=(-5:0.76*0.16in), y={(32:1.1*0.16in)}, z=(90:0.16in)]

\def\dimX{12} % Length: 12 cm
\def\dimY{2}  % Width: 2 cm  
\def\dimZ{1}  % Height: 1 cm

\coordinate (frontBottomLeft) at (0,0,0);
\coordinate (frontBottomRight) at (\dimX,0,0);
\coordinate (frontTopLeft) at (0,0,\dimZ);
\coordinate (frontTopRight) at (\dimX,0,\dimZ);

\tikzstyle{toBack}=[shift={(0,\dimY,0)}]
\coordinate (backBottomLeft) at ([toBack]frontBottomLeft);
\coordinate (backBottomRight) at ([toBack]frontBottomRight);
\coordinate (backTopLeft) at ([toBack]frontTopLeft);
\coordinate (backTopRight) at ([toBack]frontTopRight);

% Solid edges
\draw (frontBottomLeft) -- (frontBottomRight) -- (frontTopRight) -- (frontTopLeft) -- cycle;
\draw (frontBottomRight) -- (backBottomRight) -- (backTopRight) -- (backTopLeft) -- (frontTopLeft);
\draw (frontTopRight) -- (backTopRight);

% Dotted edges
\draw[dotted] (frontBottomLeft) -- (backBottomLeft) -- (backBottomRight);
\draw[dotted] (backBottomLeft) -- (backTopLeft);

% Labels
\path (frontTopLeft)
   -- node[left, pos=0.5] {1 cm}
      (frontBottomLeft)
   -- node[below left, pos=0.5] {12 cm}
      (frontBottomRight)
   -- node[below right, pos=0.5] {2 cm}
      (backBottomRight);

\end{tikzpicture}

\end{document}"
All (IRR),,Yes,No,N/A,Yes,,Yes,,Yes,Yes,No,,No,"rectangular prism, 4 units length, 3 units width, 5 units height, unit cubes visible, clear dimensional labeling",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-ppnrxL98je8fFpByG491GgMa1wf17K.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\newcommand\Ucube[5]{
\begin{scope}[scale=.25,shift={(#1,#2,#3)},xshift=#4 in ,yshift=#5 in]
\draw[rounded corners=.1mm,fill=LBlue] (0,0,1)--(1,0,1)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (0,1,0)--(1,1,0)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (1,0,0)--(1,1,0)--(1,1,1)--(1,0,1)--cycle;
\end{scope}
}

\newcommand\Outline[5]{
\begin{scope}[scale=.25,xshift=#4 in ,yshift=#5 in]
\draw[very thick,rounded corners=.1mm] (0,0,#3)--(#1,0,#3)--(#1,#2,#3)--(0,#2,#3)--cycle;
\draw[very thick,rounded corners=.1mm] (0,#2,0)--(#1,#2,0)--(#1,#2,#3)--(0,#2,#3)--cycle;
\draw[very thick,rounded corners=.1mm] (#1,0,0)--(#1,#2,0)--(#1,#2,#3)--(#1,0,#3)--cycle;
\end{scope}
}

\begin{tikzpicture}[x=1in,y=1in,z=(45:-.5),scale=0.75]
\clip (-\HP/2,-\THP/2) rectangle (\HP/2,1.5);
\def\xchange{-2}
\def\ychange{-2}

% Draw all unit cubes: 4 length × 3 width × 5 height
\foreach \x in {0,...,3}{
\foreach \y in {0,...,2}{
\foreach \z in {0,...,4}{
\Ucube{\x}{\y}{\z}{\xchange}{\ychange}
}}}

% Draw outline
\Outline{4}{3}{5}{\xchange}{\ychange}

% Add dimensional labels
\node[above] at (-1.5,0.8) {4 units};
\node[right] at (-0.3,-0.5) {3 units};
\node[left] at (-2.3,0.3) {5 units};

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,No,N/A,Yes,"rectangular prism 6x4x3, only front layer visible with unit cubes",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-vGzjR5zSht4z9U9XpPFNY8J3HBVt9E.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\newcommand\Ucube[5]{
\begin{scope}[scale=.25,shift={(#1,#2,#3)},xshift=#4 in ,yshift=#5 in]
\draw[rounded corners=.1mm,fill=LBlue] (0,0,1)--(1,0,1)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (0,1,0)--(1,1,0)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (1,0,0)--(1,1,0)--(1,1,1)--(1,0,1)--cycle;
\end{scope}
}

\newcommand\Outline[5]{
\begin{scope}[scale=.25,xshift=#4 in ,yshift=#5 in]
\draw[very thick,rounded corners=.1mm] (0,0,#3)--(#1,0,#3)--(#1,#2,#3)--(0,#2,#3)--cycle;
\draw[very thick,rounded corners=.1mm] (0,#2,0)--(#1,#2,0)--(#1,#2,#3)--(0,#2,#3)--cycle;
\draw[very thick,rounded corners=.1mm] (#1,0,0)--(#1,#2,0)--(#1,#2,#3)--(#1,0,#3)--cycle;
\end{scope}
}

\begin{tikzpicture}[x=1in,y=1in,z=(45:-.4),scale=.8]
\clip (-\HP/2,-\HP/2) rectangle (\HP/2,\HP/2);
\def\xchange{-2}
\def\ychange{-1.5}

% Draw only the front layer (z=0) of the 6x4x3 prism
\foreach \x in {0,...,5}{
\foreach \y in {0,...,3}{
\foreach \z in {0,...,0}{
\Ucube{\x}{\y}{\z}{\xchange}{\ychange};
}}}

% Draw the outline of the complete 6x4x3 prism
\Outline{6}{4}{3}{\xchange}{\ychange};

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,No,N/A,Yes,"rectangular prism made of unit cubes, 7 layers, 24 cubes per layer",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-RUaba2elBalmyEFliiosgTU39BFxVF.svg,"\documentclass{IM}
\usepackage{tikz}

\newcommand\Ucube[5]{
\begin{scope}[scale=.25,shift={(#1,#2,#3)},xshift=#4 in ,yshift=#5 in]
\draw[rounded corners=.1mm,fill=LBlue] (0,0,1)--(1,0,1)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (0,1,0)--(1,1,0)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (1,0,0)--(1,1,0)--(1,1,1)--(1,0,1)--cycle;
\end{scope}
}

\newcommand\Outline[5]{
\begin{scope}[scale=.25,xshift=#4 in ,yshift=#5 in]
\draw[very thick,rounded corners=.1mm] (0,0,#3)--(#1,0,#3)--(#1,#2,#3)--(0,#2,#3)--cycle;
\draw[very thick,rounded corners=.1mm] (0,#2,0)--(#1,#2,0)--(#1,#2,#3)--(0,#2,#3)--cycle;
\draw[very thick,rounded corners=.1mm] (#1,0,0)--(#1,#2,0)--(#1,#2,#3)--(#1,0,#3)--cycle;
\end{scope}
}

\begin{document}

\begin{tikzpicture}[x=1in,y=1in,z=(45:-.4),scale=0.8]
\clip (-\HP/2,-\HP/2) rectangle (\HP/2,\HP/2);
\def\xchange{-2}
\def\ychange{-2.5}

% Create 7 layers with 24 cubes per layer (4x6 arrangement)
\foreach \x in {0,...,3}{
\foreach \y in {0,...,5}{
\foreach \z in {0,...,6}{
\Ucube{\x}{\y}{\z}{\xchange}{\ychange}
}}}

% Draw the outline of the rectangular prism
\Outline{4}{6}{7}{\xchange}{\ychange}

\end{tikzpicture}

\end{document}"
All (IRR),,Yes,No,N/A,Yes,,Yes,,Yes,Yes,Yes,,Yes,"rectangular prism, 6 x 2 x 7 units",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-VCQTd07fVrtK8XTdlFZPF7yL67HzeK.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

% Adjust image size by changing \unitLength (everything adjusts automatically)
\def\unitLength{0.16in}

\begin{tikzpicture}[x=(-5:0.76*\unitLength), y={(32:1.1*\unitLength)}, z=(90:\unitLength)]

\def\dimX{6} % Dim in the x-dir
\def\dimY{2} % Dim in the y-dir
\def\dimZ{7} % Dim in the z-dir

\coordinate (frontBottomLeft) at (0,0,0);
\coordinate (frontBottomRight) at (\dimX,0,0);
\coordinate (frontTopLeft) at (0,0,\dimZ);
\coordinate (frontTopRight) at (\dimX,0,\dimZ);

\tikzstyle{toBack}=[shift={(0,\dimY,0)}]
\coordinate (backBottomLeft) at ([toBack]frontBottomLeft);
\coordinate (backBottomRight) at ([toBack]frontBottomRight);
\coordinate (backTopLeft) at ([toBack]frontTopLeft);
\coordinate (backTopRight) at ([toBack]frontTopRight);

% Solid edges
\draw (frontBottomLeft) -- (frontBottomRight) -- (frontTopRight) -- (frontTopLeft) -- cycle;
\draw (frontBottomRight) -- (backBottomRight) -- (backTopRight) -- (backTopLeft) -- (frontTopLeft);
\draw (frontTopRight) -- (backTopRight);

% dotted edges
\draw[dotted] (frontBottomLeft) -- (backBottomLeft) -- (backBottomRight);
\draw[dotted] (backBottomLeft) -- (backTopLeft);

% labels
\path (frontTopLeft)
   -- node[left, pos=0.5] {$\dimZ$}
      (frontBottomLeft)
   -- node[below left, pos=0.6] {$\dimX$}
      (frontBottomRight)
   -- node[below right, pos=0.5] {$\dimY$}
      (backBottomRight);

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,No,N/A,Yes,"3D rectangular prism figure, two stacked rectangular prisms, bottom prism 5×7×4, top prism 3×5×2",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-og7Ahb2IPG2CmH5fRGmwqPlfRm0AYI.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\newcommand\Ucube[5]{
\begin{scope}[scale=.25,shift={(#1,#2,#3)},xshift=#4 in ,yshift=#5 in]
\draw[rounded corners=.1mm,fill=LBlue] (0,0,1)--(1,0,1)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (0,1,0)--(1,1,0)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (1,0,0)--(1,1,0)--(1,1,1)--(1,0,1)--cycle;
\end{scope}
}

\newcommand\Outline[5]{
\begin{scope}[scale=.25,xshift=#4 in ,yshift=#5 in]
\draw[very thick,rounded corners=.1mm] (0,0,#3)--(#1,0,#3)--(#1,#2,#3)--(0,#2,#3)--cycle;
\draw[very thick,rounded corners=.1mm] (0,#2,0)--(#1,#2,0)--(#1,#2,#3)--(0,#2,#3)--cycle;
\draw[very thick,rounded corners=.1mm] (#1,0,0)--(#1,#2,0)--(#1,#2,#3)--(#1,0,#3)--cycle;
\end{scope}
}

\begin{tikzpicture}[x=1in, y=1in, z=(45:-.4)]
\clip (-2,-1.5) rectangle (2,2);

\def\xchange{-2}
\def\ychange{-1}

% Bottom prism: 5×7×4 (width=5, length=7, height=4)
\foreach \x in {0,...,4}{
\foreach \y in {0,...,6}{
\foreach \z in {0,...,3}{
\Ucube{\x}{\y}{\z}{\xchange}{\ychange}
}}}

% Top prism: 3×5×2 (width=3, length=5, height=2) positioned on top
\foreach \x in {1,...,3}{
\foreach \y in {1,...,5}{
\foreach \z in {4,...,5}{
\Ucube{\x}{\y}{\z}{\xchange}{\ychange}
}}}

% Outline for bottom prism
\Outline{5}{7}{4}{\xchange}{\ychange};

% Outline for top prism
\begin{scope}[scale=.25,xshift=\xchange in ,yshift=\ychange in]
\draw[very thick,rounded corners=.1mm] (1,1,6)--(4,1,6)--(4,6,6)--(1,6,6)--cycle;
\draw[very thick,rounded corners=.1mm] (1,6,4)--(4,6,4)--(4,6,6)--(1,6,6)--cycle;
\draw[very thick,rounded corners=.1mm] (4,1,4)--(4,6,4)--(4,6,6)--(4,1,6)--cycle;
\end{scope}

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,N/A,No,N/A,Yes,,No,Yes,No,N/A,No,"Draw a 4 × 2 × 1 rectangular prism made of unit cubes. Attach a 2 × 2 × 2 prism on top of the right side of the base prism. Cube outlines only, no shading, no colors.",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-Aj9WbU4GanSqZiGmHCs4lWpfWElUJm.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\newcommand\Ucube[5]{
\begin{scope}[scale=.25,shift={(#1,#2,#3)},xshift=#4 in ,yshift=#5 in]
\draw[rounded corners=.1mm] (0,0,1)--(1,0,1)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm] (0,1,0)--(1,1,0)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm] (1,0,0)--(1,1,0)--(1,1,1)--(1,0,1)--cycle;
\end{scope}
}

\begin{tikzpicture}[x=1in, y=1in, z=(45:-.4)]
\clip (-\QP/2,-\QP/2) rectangle (\QP/2,\QP/2);
\def\xchange{-2}
\def\ychange{-2.5}

% Base prism: 4 × 2 × 1 (width × depth × height)
\foreach \x in {0,...,3}{
\foreach \y in {0,...,1}{
\foreach \z in {0,...,0}{
\Ucube{\x}{\y}{\z}{\xchange}{\ychange};
}}}

% Top prism: 2 × 2 × 2 attached on top of right side of base
\foreach \x in {2,...,3}{
\foreach \y in {0,...,1}{
\foreach \z in {1,...,2}{
\Ucube{\x}{\y}{\z}{\xchange}{\ychange};
}}}

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,N/A,Yes,,Yes,,Yes,No,Yes,,Yes,cube with side length 5 units,cube,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-IDRgiPtquMUV9RiuoZWLgUBUVgjddt.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}[x=1in,y=1in,z=-.3in]

\def\x{5}
\def\y{5}
\def\z{5}
\def\pers{1.2}

% Draw the visible faces of the cube
\draw[thick] (0,0)--(\x,0)--(\x,\y)--(0,\y)--(0,0);
\draw[thick] (0,\y)--(0,\y,-\z*\pers)--(\x,\y,-\z*\pers)--(\x,\y);
\draw[thick] (\x,0)--(\x,0,-\z*\pers)--(\x,\y,-\z*\pers);

% Draw the hidden edges with dotted lines
\draw[dotted,thick] (0,0)--(0,0,-\z*\pers);
\draw[dotted,thick] (0,0,-\z*\pers)--(\x,0,-\z*\pers);
\draw[dotted,thick] (0,0,-\z*\pers)--(0,\y,-\z*\pers);

% Add dimension labels
\node[below] at (\x/2,0) {5 units};
\node[right] at (\x,\y/2,-\z*\pers/2) {5 units};
\node[above left] at (0,\y/2,-\z*\pers/2) {5 units};

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,No,N/A,No,"3D figure made of unit cubes: Layer 1 has 6×2 cubes flat on base, Layer 2 has identical 6×2 layer stacked on top, then add 2×2×2 cube section underneath at left end, simple cube outline diagram, no shading, no color, no labels",cube,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-Vig36UrrffN5gDaXczQfMqzFOtAC2e.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}[x=0.3cm, y=0.3cm, z=0.2cm]

% Define coordinates for the main 6x2x2 structure
% Bottom layer (6x2 on base)
\coordinate (A1) at (0,0,0);
\coordinate (A2) at (6,0,0);
\coordinate (A3) at (6,2,0);
\coordinate (A4) at (0,2,0);

% Top of bottom layer
\coordinate (B1) at (0,0,1);
\coordinate (B2) at (6,0,1);
\coordinate (B3) at (6,2,1);
\coordinate (B4) at (0,2,1);

% Top layer (6x2 on top)
\coordinate (C1) at (0,0,2);
\coordinate (C2) at (6,0,2);
\coordinate (C3) at (6,2,2);
\coordinate (C4) at (0,2,2);

% 2x2x2 cube section underneath at left end
\coordinate (D1) at (0,0,-2);
\coordinate (D2) at (2,0,-2);
\coordinate (D3) at (2,2,-2);
\coordinate (D4) at (0,2,-2);

\coordinate (E1) at (0,0,-1);
\coordinate (E2) at (2,0,-1);
\coordinate (E3) at (2,2,-1);
\coordinate (E4) at (0,2,-1);

% Draw the main 6x2x2 structure
% Bottom face
\draw (A1) -- (A2) -- (A3) -- (A4) -- cycle;

% Middle level
\draw (B1) -- (B2) -- (B3) -- (B4) -- cycle;

% Top face
\draw (C1) -- (C2) -- (C3) -- (C4) -- cycle;

% Vertical edges of main structure
\draw (A1) -- (B1) -- (C1);
\draw (A2) -- (B2) -- (C2);
\draw (A3) -- (B3) -- (C3);
\draw (A4) -- (B4) -- (C4);

% Front face of main structure
\draw (A1) -- (A2) -- (B2) -- (B1) -- cycle;
\draw (B1) -- (B2) -- (C2) -- (C1) -- cycle;

% Right face of main structure
\draw (A2) -- (A3) -- (B3) -- (B2) -- cycle;
\draw (B2) -- (B3) -- (C3) -- (C2) -- cycle;

% Draw the 2x2x2 cube section underneath
% Bottom face of cube
\draw (D1) -- (D2) -- (D3) -- (D4) -- cycle;

% Middle level of cube
\draw (E1) -- (E2) -- (E3) -- (E4) -- cycle;

% Top face of cube (connects to main structure)
\draw (A1) -- (E1);
\draw (A4) -- (E4);

% Vertical edges of cube
\draw (D1) -- (E1) -- (A1);
\draw (D2) -- (E2);
\draw (D3) -- (E3);
\draw (D4) -- (E4) -- (A4);

% Front face of cube
\draw (D1) -- (D2) -- (E2) -- (E1) -- cycle;

% Right face of cube
\draw (D2) -- (D3) -- (E3) -- (E2) -- cycle;

% Additional connecting edge
\draw (E2) -- (2,0,0);
\draw (E3) -- (2,2,0);
\draw (2,0,0) -- (2,2,0);

% Hidden edges (dotted)
\draw[dotted] (A4) -- (A3);
\draw[dotted] (B4) -- (B3);
\draw[dotted] (C4) -- (C3);
\draw[dotted] (D4) -- (D3);
\draw[dotted] (E4) -- (E3);

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,N/A,No,,Yes,,Yes,Yes,Yes,,Yes,"cube, 7 inches on each side, labeled dimensions",cube,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-MjGtctKAgXodJI5V1GI01xcsFEErDA.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=(-5:0.16in), y={(32:0.176in)}, z=(90:0.16in)]

\def\dimX{7} % Dim in the x-dir
\def\dimY{7} % Dim in the y-dir
\def\dimZ{7} % Dim in the z-dir

\coordinate (frontBottomLeft) at (0,0,0);
\coordinate (frontBottomRight) at (\dimX,0,0);
\coordinate (frontTopLeft) at (0,0,\dimZ);
\coordinate (frontTopRight) at (\dimX,0,\dimZ);

\tikzstyle{toBack}=[shift={(0,\dimY,0)}]
\coordinate (backBottomLeft) at ([toBack]frontBottomLeft);
\coordinate (backBottomRight) at ([toBack]frontBottomRight);
\coordinate (backTopLeft) at ([toBack]frontTopLeft);
\coordinate (backTopRight) at ([toBack]frontTopRight);

% Solid edges
\draw (frontBottomLeft) -- (frontBottomRight) -- (frontTopRight) -- (frontTopLeft) -- cycle;
\draw (frontBottomRight) -- (backBottomRight) -- (backTopRight) -- (backTopLeft) -- (frontTopLeft);
\draw (frontTopRight) -- (backTopRight);

% dotted edges
\draw[dotted] (frontBottomLeft) -- (backBottomLeft) -- (backBottomRight);
\draw[dotted] (backBottomLeft) -- (backTopLeft);

% labels
\path (frontTopLeft)
   -- node[left, pos=0.5] {7 in}
      (frontBottomLeft)
   -- node[below left, pos=0.6] {7 in}
      (frontBottomRight)
   -- node[below right, pos=0.5] {7 in}
      (backBottomRight);

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,No,N/A,Yes,two dot cubes showing 3 and 4 dots,cube,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-SkMS3Oa9uESRlMl5pbfBjlHt94ue9j.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
%%Dice 3 and 4
\begin{tikzpicture}[x=1in,y=1in]
\clip (-\HP/2,-\QP/3) rectangle (\HP/2,\QP/3);
\begin{scope}[xshift=-.75 in]
\foreach \x/\y in {
-.3/-.3,
0/0,
.3/.3
}{
\draw[fill=LBlue] (\x,\y) circle (.125);
}
\draw (-.5,-.5) rectangle(.5,.5);
\end{scope}
\begin{scope}[xshift=.75 in]
\foreach \x/\y in {
-.3/.3,
-.3/-.3,
.3/.3,
.3/-.3
}{
\draw[fill=LBlue] (\x,\y) circle (.125);
}
\draw (-.5,-.5) rectangle(.5,.5);
\end{scope}

\end{tikzpicture}
\end{document}"
